gene_id,Satrom-mRNA-2hT_ACAGTG_L004_001
0610005C13Rik,20
0610006L08Rik,0
0610007P14Rik,3027
0610009B22Rik,699
0610009E02Rik,6
0610009L18Rik,28
0610009O20Rik,1241
0610010B08Rik,0
0610010F05Rik,3609
0610010K14Rik,0
0610011F06Rik,764
0610012G03Rik,924
0610025J13Rik,0
0610030E20Rik,0
0610031O16Rik,0
0610037L13Rik,1281
0610038B21Rik,0
0610039H22Rik,116
0610039K10Rik,42
0610040B10Rik,66
0610040F04Rik,5
0610040J01Rik,3
0610043K17Rik,0
1010001N08Rik,0
1100001I12Rik,0
1110001J03Rik,570
1110002J07Rik,81
1110002L01Rik,155
1110002O04Rik,0
1110004E09Rik,2289
1110004F10Rik,5570
1110006O24Rik,11
1110007C09Rik,314
1110008F13Rik,1570
1110008L16Rik,1366
1110008P14Rik,194
1110012L19Rik,440
1110015O18Rik,0
1110017D15Rik,2
1110018N20Rik,276
1110019D14Rik,29
1110020A21Rik,4
1110025L11Rik,0
1110028F11Rik,0
1110028F18Rik,0
1110032A03Rik,227
1110032F04Rik,0
1110034G24Rik,247
1110036E04Rik,1
1110037F02Rik,8041
1110038B12Rik,0
1110038F14Rik,1580
1110046J04Rik,2
1110051M20Rik,1362
1110054M08Rik,4
1110057K04Rik,2541
1110057P08Rik,0
1110058D11Rik,0
1110058L19Rik,352
1110059E24Rik,1894
1110059G10Rik,829
1110065P20Rik,170
1190002F15Rik,484
1190002N15Rik,0
1190003K10Rik,0
1190005I06Rik,83
1190007I07Rik,542
1190028D05Rik,0
1200014J11Rik,5
1300002E11Rik,637
1300017J02Rik,11
1500002F19Rik,0
1500004A13Rik,171
1500009C09Rik,1
1500009L16Rik,25
1500011B03Rik,389
1500011K16Rik,314
1500012F01Rik,4058
1500012K07Rik,2
1500015A07Rik,258
1500015L24Rik,0
1500015O10Rik,0
1500017E21Rik,0
1500026H17Rik,0
1500035N22Rik,0
1520401A03Rik,22
1600002D24Rik,21
1600002H07Rik,692
1600002K03Rik,293
1600010M07Rik,8
1600012H06Rik,432
1600014C10Rik,587
1600014C23Rik,0
1600014K23Rik,0
1600015I10Rik,0
1600019K03Rik,0
1600020E01Rik,264
1600023N17Rik,10
1600025M17Rik,0
1600027J07Rik,0
1600029I14Rik,0
1600029O15Rik,3
1700001C02Rik,0
1700001C19Rik,0
1700001D01Rik,5
1700001F09Rik,0
1700001G01Rik,0
1700001G11Rik,66
1700001G17Rik,4
1700001J03Rik,4
1700001J11Rik,0
1700001K19Rik,25
1700001K23Rik,6
1700001L05Rik,168
1700001L19Rik,0
1700001O22Rik,0
1700001P01Rik,10
1700003C15Rik,0
1700003D09Rik,0
1700003E16Rik,26
1700003E24Rik,0
1700003F12Rik,6
1700003G13Rik,0
1700003G18Rik,6
1700003H04Rik,0
1700003I22Rik,0
1700003L19Rik,0
1700003M02Rik,0
1700003M07Rik,0
1700003O11Rik,0
1700003P14Rik,0
1700006A11Rik,0
1700006E09Rik,0
1700006F04Rik,0
1700006H20Rik,0
1700006H21Rik,0
1700007B14Rik,0
1700007E05Rik,2
1700007F19Rik,0
1700007G11Rik,0
1700007J10Rik,0
1700007K09Rik,1
1700007K13Rik,0
1700007L15Rik,291
1700007P06Rik,0
1700008C04Rik,0
1700008F21Rik,9
1700008I05Rik,4
1700008J07Rik,14
1700008K24Rik,0
1700008O03Rik,29
1700008P02Rik,0
1700009C05Rik,0
1700009J07Rik,0
1700009N14Rik,0
1700010B08Rik,0
1700010D01Rik,0
1700010H22Rik,13
1700010I02Rik,0
1700010I14Rik,30
1700010J16Rik,0
1700010K23Rik,0
1700010L04Rik,0
1700010N08Rik,0
1700011A15Rik,0
1700011B04Rik,2
1700011C11Rik,0
1700011E24Rik,0
1700011H14Rik,1
1700011I03Rik,0
1700011L22Rik,0
1700011M02Rik,0
1700012A03Rik,0
1700012B07Rik,3
1700012B09Rik,1
1700012C14Rik,0
1700012D01Rik,28
1700012D14Rik,19
1700012D16Rik,0
1700012H19Rik,0
1700012I11Rik,1
1700012J15Rik,0
1700012L04Rik,0
1700012P22Rik,0
1700013D24Rik,0
1700013F07Rik,81
1700013G24Rik,0
1700013H16Rik,0
1700013N06Rik,0
1700015C15Rik,0
1700015E13Rik,0
1700015F17Rik,0
1700015G11Rik,0
1700016B01Rik,0
1700016C15Rik,0
1700016C19Rik,0
1700016D06Rik,1
1700016G14Rik,13
1700016G22Rik,0
1700016H13Rik,0
1700016J18Rik,8
1700016K19Rik,28
1700016L04Rik,2
1700016L21Rik,4
1700016P04Rik,0
1700017B05Rik,4641
1700017D01Rik,0
1700017G19Rik,0
1700017J07Rik,2
1700017L05Rik,0
1700017M07Rik,1
1700017N19Rik,0
1700018A04Rik,0
1700018A23Rik,3
1700018B08Rik,0
1700018B24Rik,0
1700018C11Rik,0
1700018F24Rik,0
1700018G05Rik,0
1700018L02Rik,2
1700019A02Rik,3
1700019B03Rik,0
1700019B21Rik,0
1700019C18Rik,0
1700019D03Rik,433
1700019E08Rik,0
1700019F05Rik,0
1700019G17Rik,13
1700019G24Rik,0
1700019J19Rik,2
1700019L03Rik,35
1700019L22Rik,0
1700019M22Rik,0
1700019N19Rik,24
1700019O17Rik,0
1700019P21Rik,0
1700020A23Rik,11
1700020D05Rik,2
1700020D12Rik,0
1700020D14Rik,0
1700020G17Rik,0
1700020I14Rik,2545
1700020L24Rik,6
1700020M21Rik,0
1700020N01Rik,0
1700020N15Rik,0
1700020N18Rik,0
1700021F02Rik,0
1700021F05Rik,1482
1700021F07Rik,0
1700021G15Rik,0
1700021K19Rik,1621
1700021L23Rik,0
1700021N21Rik,0
1700022A21Rik,0
1700022A22Rik,0
1700022E09Rik,0
1700022H01Rik,9
1700022H16Rik,0
1700022I11Rik,10
1700022N22Rik,56
1700023C21Rik,0
1700023E05Rik,9
1700023F02Rik,0
1700023F06Rik,1
1700023G09Rik,0
1700023L04Rik,6
1700024B05Rik,0
1700024B18Rik,0
1700024F13Rik,34
1700024G13Rik,0
1700024I08Rik,0
1700024N05Rik,0
1700024P04Rik,0
1700024P16Rik,1
1700025B11Rik,0
1700025C18Rik,0
1700025D23Rik,0
1700025F22Rik,0
1700025F24Rik,0
1700025G04Rik,13
1700025J12Rik,0
1700025K24Rik,0
1700025M24Rik,0
1700025N23Rik,0
1700026D08Rik,0
1700026D11Rik,2
1700026F02Rik,0
1700026J12Rik,2
1700026J14Rik,0
1700026L06Rik,188
1700027A15Rik,0
1700027F06Rik,0
1700027F09Rik,0
1700027H10Rik,0
1700027I24Rik,0
1700027J07Rik,109
1700028B04Rik,0
1700028D13Rik,0
1700028E10Rik,4
1700028I16Rik,25
1700028J19Rik,21
1700028K03Rik,92
1700028M03Rik,0
1700028P14Rik,0
1700028P15Rik,0
1700029B22Rik,0
1700029F12Rik,0
1700029H14Rik,0
1700029I15Rik,16
1700029J03Rik,0
1700029J07Rik,145
1700029M03Rik,0
1700029M20Rik,64
1700029N11Rik,35
1700029P11Rik,5
1700030A11Rik,0
1700030C10Rik,0
1700030C14Rik,0
1700030E10Rik,0
1700030F04Rik,0
1700030F18Rik,5
1700030J22Rik,52
1700030K09Rik,563
1700030L20Rik,0
1700030L22Rik,2
1700030M09Rik,0
1700030N03Rik,0
1700030O20Rik,12
1700031A10Rik,0
1700031F05Rik,0
1700031L13Rik,0
1700031M16Rik,1
1700031P21Rik,0
1700034B16Rik,0
1700034E13Rik,0
1700034G24Rik,0
1700034H15Rik,14
1700034I23Rik,0
1700034J05Rik,0
1700034K08Rik,0
1700034O15Rik,0
1700034P13Rik,24
1700036G14Rik,0
1700037C18Rik,320
1700037H04Rik,1458
1700039E15Rik,0
1700039E22Rik,0
1700039I01Rik,2
1700039M10Rik,15
1700040D17Rik,0
1700040F15Rik,0
1700040L02Rik,138
1700041A01Rik,10
1700041B01Rik,0
1700041C23Rik,0
1700041M19Rik,0
1700042B14Rik,0
1700042G07Rik,0
1700042G15Rik,0
1700042O10Rik,5
1700044C05Rik,0
1700044K03Rik,0
1700045H11Rik,0
1700046C09Rik,0
1700047A11Rik,0
1700047E10Rik,17
1700047G03Rik,0
1700047I17Rik2,8
1700047L14Rik,0
1700047M11Rik,0
1700048B10Rik,0
1700048F04Rik,0
1700048M11Rik,5
1700048O14Rik,0
1700048O20Rik,748
1700049E15Rik,0
1700049E17Rik1,0
1700049E17Rik2,0
1700049E22Rik,0
1700049G17Rik,100
1700049J03Rik,2
1700049L16Rik,0
1700051A21Rik,0
1700052H01Rik,0
1700052I22Rik,0
1700052K11Rik,36
1700052N19Rik,1237
1700054A03Rik,0
1700054K19Rik,0
1700054M17Rik,2
1700054O19Rik,0
1700055C04Rik,0
1700055D18Rik,16
1700055N04Rik,0
1700056E22Rik,28
1700057G04Rik,7
1700057H15Rik,0
1700057H21Rik,0
1700058M13Rik,0
1700060C16Rik,0
1700060C20Rik,0
1700060L04Rik,0
1700060O08Rik,0
1700061F12Rik,0
1700061G19Rik,58
1700061I17Rik,0
1700061J23Rik,1
1700062C10Rik,0
1700063A18Rik,0
1700063D05Rik,6
1700063H04Rik,0
1700063O14Rik,0
1700064F23Rik,0
1700064J06Rik,0
1700064M15Rik,4
1700065D16Rik,7
1700065I16Rik,0
1700065J11Rik,0
